EURUSD	5	20200701	075000	1.1223100	1.1224100	1.1219000	1.1221900	5214
EURUSD	5	20200701	075500	1.1221000	1.1223000	1.1219000	1.1220500	4307
EURUSD	5	20200701	080000	1.1221500	1.1221500	1.1214000	1.1217900	6504
EURUSD	5	20200701	080500	1.1217100	1.1221100	1.1215000	1.1219500	7667
EURUSD	5	20200701	081000	1.1221000	1.1221800	1.1217000	1.1219400	6462
EURUSD	5	20200701	081500	1.1218600	1.1219600	1.1214000	1.1217800	5101
EURUSD	5	20200701	082000	1.1218300	1.1221000	1.1214600	1.1220200	7839
EURUSD	5	20200701	082500	1.1220500	1.1221800	1.1217000	1.1220400	5335
EURUSD	5	20200701	083000	1.1220300	1.1221900	1.1218000	1.1220500	6006
EURUSD	5	20200701	083500	1.1220800	1.1222800	1.1218000	1.1221700	5351
EURUSD	5	20200701	084000	1.1221900	1.1223700	1.1220000	1.1223100	4700
EURUSD	5	20200701	084500	1.1222700	1.1224000	1.1220000	1.1222600	4006
EURUSD	5	20200701	085000	1.1222200	1.1224500	1.1221000	1.1223400	5064
EURUSD	5	20200701	085500	1.1223000	1.1225000	1.1220700	1.1223500	5413
EURUSD	5	20200701	090000	1.1223300	1.1226300	1.1222000	1.1223800	5705
EURUSD	5	20200701	090500	1.1223900	1.1225100	1.1218300	1.1221100	9203
EURUSD	5	20200701	091000	1.1220900	1.1223600	1.1218000	1.1220800	6788
EURUSD	5	20200701	091500	1.1222100	1.1225200	1.1220000	1.1224600	7079
EURUSD	5	20200701	092000	1.1225200	1.1226500	1.1221000	1.1223900	6829
EURUSD	5	20200701	092500	1.1224100	1.1225800	1.1221800	1.1225500	4725
EURUSD	5	20200701	093000	1.1225700	1.1227300	1.1221000	1.1226400	7190
EURUSD	5	20200701	093500	1.1226100	1.1228600	1.1223800	1.1226900	8532
EURUSD	5	20200701	094000	1.1226100	1.1229100	1.1223800	1.1227000	7661
EURUSD	5	20200701	094500	1.1228000	1.1231900	1.1225900	1.1231900	8040
EURUSD	5	20200701	095000	1.1231500	1.1232400	1.1227900	1.1231000	5381
EURUSD	5	20200701	095500	1.1231300	1.1232300	1.1228000	1.1230800	6311
EURUSD	5	20200701	100000	1.1230900	1.1234400	1.1228900	1.1232400	6365
EURUSD	5	20200701	100500	1.1233400	1.1233500	1.1225000	1.1227000	9084
EURUSD	5	20200701	101000	1.1226400	1.1228400	1.1224000	1.1228100	5825
EURUSD	5	20200701	101500	1.1228300	1.1232300	1.1226000	1.1229300	6656
EURUSD	5	20200701	102000	1.1230500	1.1232100	1.1223000	1.1224700	11289
EURUSD	5	20200701	102500	1.1224700	1.1227100	1.1221000	1.1223800	6739
EURUSD	5	20200701	103000	1.1224000	1.1225000	1.1221000	1.1224700	4451
EURUSD	5	20200701	103500	1.1224000	1.1228900	1.1221800	1.1228400	7800
EURUSD	5	20200701	104000	1.1228300	1.1231300	1.1225800	1.1227300	8888
EURUSD	5	20200701	104500	1.1227900	1.1230300	1.1225000	1.1227600	5993
EURUSD	5	20200701	105000	1.1227600	1.1230000	1.1224000	1.1227400	7459
EURUSD	5	20200701	105500	1.1227900	1.1230800	1.1225000	1.1229900	6419
EURUSD	5	20200701	110000	1.1229500	1.1233000	1.1227300	1.1230500	8357
EURUSD	5	20200701	110500	1.1231500	1.1235200	1.1227000	1.1234100	9902
EURUSD	5	20200701	111000	1.1234200	1.1238700	1.1232800	1.1236000	7091
EURUSD	5	20200701	111500	1.1237700	1.1244800	1.1236000	1.1240800	10566
EURUSD	5	20200701	112000	1.1241600	1.1244300	1.1236800	1.1238500	9839
EURUSD	5	20200701	112500	1.1238600	1.1244200	1.1236000	1.1243500	7800
EURUSD	5	20200701	113000	1.1242900	1.1243900	1.1238000	1.1240400	6145
EURUSD	5	20200701	113500	1.1241500	1.1243100	1.1236000	1.1238800	6375
EURUSD	5	20200701	114000	1.1238700	1.1239700	1.1231000	1.1233400	8180
EURUSD	5	20200701	114500	1.1233400	1.1238700	1.1231000	1.1233100	10587
EURUSD	5	20200701	115000	1.1233800	1.1234200	1.1228000	1.1230100	7447
EURUSD	5	20200701	115500	1.1230800	1.1233300	1.1228000	1.1232100	7482
EURUSD	5	20200701	120000	1.1231300	1.1233600	1.1228000	1.1231100	9206
EURUSD	5	20200701	120500	1.1231000	1.1233600	1.1229000	1.1231600	7566
EURUSD	5	20200701	121000	1.1231100	1.1233800	1.1229000	1.1229000	5897
EURUSD	5	20200701	121500	1.1230800	1.1231100	1.1226000	1.1229000	7282
EURUSD	5	20200701	122000	1.1229100	1.1229400	1.1223000	1.1225500	8248
EURUSD	5	20200701	122500	1.1225700	1.1226800	1.1222000	1.1224500	7241
